DATE,CN,AMT
20190201,18,1934
20190201,18,1033
20190201,5,27
20190201,5,68
20190201,5,768
20190201,5,3752
20190201,5,2396
20190201,5,27
20190201,5,52
20190201,5,50
20190201,23,776
20190201,5,63
20190201,14,201
20190201,18,184
20190201,9,82
20190201,5,3661
20190201,5,1220
20190201,5,113
20190201,5,542
20190201,9,447
20190201,5,362
20190201,5,53
20190201,9,247
20190201,5,24
20190201,5,97
20190201,5,104
20190201,5,50
20190201,5,45
20190201,5,362
20190201,9,38
20190201,5,82
20190201,63,396
20190201,81,838
20190201,27,273
20190201,5,1085
20190201,36,9097
20190201,9,809
20190201,9,197
20190201,5,588
20190201,5,881
20190201,14,41
20190201,23,151
20190201,5,14
20190201,5,136
20190201,14,2061
20190201,5,14
20190201,18,120
20190201,5,163
20190201,54,433
20190201,163,767
20190201,32,391
20190201,18,221
20190201,5,71
20190201,9,504
20190201,5,18
20190201,5,16
20190201,9,2079
20190201,14,221
20190201,18,32
20190201,9,2233
20190201,9,511
20190201,5,339
20190201,14,1261
20190201,45,116
20190201,104,673
20190201,50,189
20190201,5,533
20190201,5,904
20190201,14,1785
20190201,5,90
20190201,14,696
20190201,9,167
20190201,5,994
20190201,5,723
20190201,9,4271
20190201,5,5
20190201,5,136
20190201,14,1358
20190201,54,194
20190201,50,289
20190201,14,111
20190201,9,27
20190201,5,181
20190201,9,66
20190201,5,90
20190201,5,68
20190201,5,316
20190201,5,172
20190201,14,59
20190201,5,36
20190201,5,45
20190201,9,764
20190201,9,33
20190201,59,443
20190201,54,238
20190201,45,406
20190201,9,142
20190201,14,138
20190201,18,1148
20190201,9,126
20190201,5,99
20190201,14,486
20190201,5,14
20190201,5,118
20190201,9,201
20190201,14,597
20190201,32,732
20190201,41,883
20190201,36,1027
20190201,5,145
20190201,18,1229
20190201,9,2757
20190201,5,142
20190201,5,307
20190201,9,958
20190201,5,959
20190201,5,40
20190201,5,146
20190201,5,273
20190201,5,812
20190201,14,1234
20190201,14,158
20190201,5,190
20190201,5,129
20190201,5,90
20190201,14,48
20190201,167,797
20190201,27,348
20190201,50,179
20190201,9,307
20190201,14,186
20190201,5,452
20190201,9,95
20190201,5,45
20190201,16,45
20190201,11,7704
20190201,11,1022
20190201,22,4415
20190201,22,189
20190201,5,43
20190201,5,1948
20190201,5,162
20190201,16,498
20190201,16,490
20190201,5,27
20190201,16,1171
20190201,5,7174
20190201,11,747
20190201,5,373
20190201,5,379
20190201,5,901
20190201,5,1066
20190201,5,41
20190201,5,27
20190201,5,10
20190201,5,97
20190201,11,16
20190201,11,445
20190201,5,3571
20190201,11,3230
20190201,49,108
20190201,49,196
20190201,16,95
20190201,11,446
20190201,16,41
20190201,16,741
20190201,11,206
20190201,5,812
20190201,5,146
20190201,5,46
20190201,5,84
20190201,16,97
20190201,22,214
20190201,11,230
20190201,5,2191
20190201,5,32
20190201,32,342
20190201,38,883
20190201,22,447
20190201,11,122
20190201,5,24
20190201,5,91
20190201,16,2705
20190201,5,27
20190201,11,1894
20190201,5,27
20190201,76,4157
20190201,5,144
20190201,5,49
20190201,11,191
20190201,5,216
20190201,27,1036
20190201,11,1850
20190201,16,43
20190201,16,43
20190201,5,39
20190201,54,154
20190201,49,154
20190201,11,24
20190201,5,49
20190201,5,752
20190201,11,162
20190201,5,16
20190201,11,352
20190201,5,81
20190201,5,78
20190201,5,108
20190201,5,5
20190201,5,35
20190201,11,1066
20190201,5,108
20190201,32,949
20190201,5,195
20190201,16,1553
20190201,5,76
20190201,11,690
20190201,38,388
20190201,49,529
20190201,11,65
20190201,11,97
20190201,22,265
20190201,32,601
20190201,22,915
20190201,5,125
20190201,27,1130
20190201,22,1041
20190201,5,385
20190201,16,1058
20190201,5,903
20190201,5,1392
20190201,11,3240
20190201,5,385
20190201,11,1016
20190201,5,54
20190201,5,97
20190201,5,54
20190201,5,444
20190201,5,1601
20190201,5,52
20190201,16,87
20190201,16,128
20190201,5,16
20190201,65,265
20190201,49,162
20190201,5,8
20190201,11,349
20190201,5,10
20190201,5,866
20190201,5,30
20190201,5,65
20190201,16,720
20190201,16,114
20190201,5,54
20190201,11,65
20190201,11,352
20190201,5,32
20190201,5,30
20190201,11,60
20190201,16,1174
20190201,5,60
20190201,5,65
20190201,5,146
20190201,16,341
20190201,11,126
20190201,5,117
20190201,5,21
20190201,38,359
20190201,54,418
20190201,32,155
20190201,5,866
20190201,5,1179
20190201,5,406
20190201,5,41
20190201,5,271
20190201,5,108
20190201,5,42
20190201,22,111
20190201,5,38
20190201,22,429
20190201,16,516
20190201,5,108
20190201,5,162
20190201,5,703
20190201,5,1353
20190201,5,2976
20190201,11,29
20190201,5,3571
20190201,5,61
20190201,5,757
20190201,5,38
20190201,22,137
20190201,27,81
20190201,16,228
20190201,5,195
20190201,5,97
20190201,22,974
20190201,5,271
20190201,11,1374
20190201,5,373
20190201,22,107
20190201,32,143
20190201,5,70
20190201,11,87
20190201,11,189
20190201,11,406
20190201,16,357
20190201,5,162
20190201,5,97
20190201,5,108
20190201,27,65
20190201,16,579
20190201,16,1764
20190201,11,157
20190201,16,218
20190201,11,54
20190201,11,38
20190201,22,116
20190201,32,464
20190201,5,108
20190201,16,87
20190201,5,135
20190201,11,622
20190201,11,563
20190201,11,2453
20190201,11,119
20190201,32,138
20190201,5,76
20190201,11,192
20190201,11,682
20190201,22,1098
20190201,5,76
20190201,11,552
20190201,11,151
20190201,32,166
20190201,76,814
20190201,60,1252
20190201,11,390
20190201,54,5913
20190201,22,1396
20190201,16,2651
20190201,27,824
20190201,5,60
20190201,11,108
20190201,5,81
20190201,22,216
20190201,11,85
20190201,5,21
20190201,32,272
20190201,27,272
20190201,11,73
20190201,157,974
20190201,108,616
20190201,22,1042
20190201,22,332
20190201,5,20
20190201,22,1121
20190201,22,486
20190201,11,1244
20190201,5,1295
20190201,5,243
20190201,5,595
20190201,5,649
20190201,11,8494
20190201,5,893
20190201,5,595
20190201,16,78
20190201,5,21
20190201,5,812
20190201,11,11
20190201,11,8065
20190201,5,54
20190201,5,2191
20190201,11,169
20190201,11,38
20190201,43,185
20190201,27,94
20190201,5,87
20190201,5,2435
20190201,5,103
20190201,16,371
20190201,16,411
20190201,11,157
20190201,5,1244
20190201,11,603
20190201,5,108
20190201,5,95
20190201,5,351
20190201,16,419
20190201,11,43
20190201,11,189
20190201,5,3219
20190201,27,1691
20190201,60,1021
20190201,54,6440
20190201,5,37
20190201,5,189
20190201,287,1375
20190201,157,799
20190201,16,166
20190201,5,2851
20190201,11,1353
20190201,5,15
20190201,16,849
20190201,5,1829
20190201,5,157
20190201,5,75
20190201,11,753
20190201,16,1618
20190201,5,730
20190201,5,184
20190201,11,208
20190201,16,2279
20190201,11,768
20190201,5,411
20190201,16,45
20190201,38,257
20190201,5,411
20190201,5,146
20190201,11,390
20190201,11,1216
20190201,11,433
20190201,5,368
20190201,11,5215
20190201,5,417
20190201,5,2597
20190201,5,292
20190201,11,2424
20190201,5,633
20190201,5,41
20190201,16,215
20190201,5,80
20190201,5,23
20190201,5,30
20190201,92,451
20190201,81,627
20190201,32,193
20190201,16,919
20190201,5,119
20190201,11,49
20190201,27,656
20190201,16,898
20190201,11,379
20190201,9,249
20190201,5,488
20190201,108,455
20190201,77,748
20190201,5,418
20190201,9,270
20190201,9,287
20190201,50,1110
20190201,41,223
20190201,5,5
20190201,5,59
20190201,475,2297
20190201,696,4822
20190201,50,1347
20190201,68,586
20190201,54,1608
20190201,63,1574
20190201,27,966
20190201,41,827
20190201,14,142
20190201,5,14
20190201,5,49
20190201,5,72
20190201,5,217
20190201,41,231
20190201,9,136
20190201,9,68
20190201,9,1514
20190201,14,102
20190201,54,432
20190201,9,38
20190201,5,61
20190201,18,271
20190201,27,2319
20190201,9,398
20190201,5,181
20190201,5,271
20190201,5,90
20190201,5,68
20190201,14,77
20190201,5,226
20190201,5,904
20190201,5,1487
20190201,5,497
20190201,9,99
20190201,5,362
20190201,32,7095
20190201,23,4710
20190201,14,271
20190201,9,334
20190201,23,728
20190201,9,50
20190201,14,81
20190201,5,18
20190201,203,1091
20190201,158,1003
20190201,45,247
20190201,77,645
20190201,36,3810
20190201,32,1479
20190201,45,2283
20190201,27,931
20190201,14,588
20190201,5,588
20190201,104,413
20190201,36,226
20190201,14,147
20190201,5,15
20190201,36,2789
20190201,50,258
20190201,45,654
20190201,27,840
20190201,5,9
20190201,14,334
20190201,466,2615
20190201,452,2572
20190201,104,2204
20190201,54,765
20190201,23,841
20190201,59,650
20190201,36,495
20190201,81,2462
20190201,27,660
20190201,50,1291
20190201,5,93
20190201,5,249
20190201,9,1052
20190201,14,1373
20190201,18,420
20190201,9,1976
20190201,14,2978
20190201,59,145
20190201,50,197
20190201,5,23
20190201,5,221
20190201,14,1116
20190201,9,497
20190201,9,68
20190201,14,985
20190201,5,9
20190201,27,122
20190201,18,54
20190201,5,5
20190201,5,23
20190201,95,358
20190201,50,190
20190201,9,78
20190201,5,5
20190201,9,14
20190201,9,14
20190201,18,70
20190201,14,90
20190201,18,2224
20190201,5,45
20190201,145,558
20190201,90,663
20190201,23,61
20190201,5,23
20190201,9,9058
20190201,5,63
20190201,14,2219
20190201,14,199
20190201,5,90
20190201,5,59
20190201,14,34
20190201,18,93
20190201,5,2649
20190201,9,20
20190201,36,140
20190201,5,118
20190201,190,633
20190201,41,221
20190201,18,110
20190201,5,7
20190201,9,34
20190201,14,113
20190201,18,269
20190201,5,118
20190201,5,90
20190201,5,190
20190201,5,2124
20190201,32,458
20190201,5,23
20190201,5,1220
20190201,5,140
20190201,18,851
20190201,18,95
20190201,5,90
20190201,231,1068
20190201,127,844
20190201,27,258
20190201,41,350
20190201,9,102
20190201,32,1676
20190201,36,906
20190201,14,212
20190201,5,1017
20190201,5,9
20190201,5,9
20190201,5,18
20190201,5,158
20190201,9,79
20190201,14,442
20190201,5,2712
20190201,5,32
20190201,5,90
20190201,9,1889
20190201,5,191
20190201,9,9178
20190201,9,26
20190201,27,283
20190201,18,1767
20190201,14,373
20190201,9,133
20190201,32,550
20190201,14,402
20190201,14,258
20190201,14,314
20190201,5,68
20190201,5,18
20190201,5,1898
20190201,5,1356
20190201,9,3046
20190201,5,95
20190201,5,253
20190201,14,705
20190201,5,172
20190201,5,354
20190201,77,1294
20190201,23,219
20190201,9,28
20190201,23,150
20190201,41,445
20190201,9,208
20190201,5,267
20190201,18,746
20190201,818,4774
20190201,380,2401
20190201,86,1036
20190201,59,2091
20190201,41,1130
20190201,41,1107
20190201,14,71
20190201,45,1051
20190201,32,967
20190201,18,416
20190201,32,555
20190201,9,174
20190201,14,95
20190201,9,1372
20190201,5,81
20190201,9,140
20190201,18,688
20190201,5,271
20190201,14,944
20190201,41,925
20190201,23,1297
20190201,18,1577
20190201,14,832
20190201,5,81
20190201,9,1445
20190201,5,681
20190201,375,2953
20190201,122,1063
20190201,36,829
20190201,23,345
20190201,9,47
20190201,68,5706
20190201,63,309
20190201,36,2072
20190201,5,23
20190201,886,5127
20190201,737,7142
20190201,136,3336
20190201,59,1298
20190201,23,214
20190201,50,2047
20190201,45,1522
20190201,41,805
20190201,9,167
20190201,5,11
20190201,9,262
20190201,5,113
20190201,5,34
20190201,9,151
20190201,23,36
20190201,9,27
20190201,32,188
20190201,63,494
20190201,18,83
20190201,9,194
20190201,5,172
20190201,5,154
20190201,5,63
20190201,5,54
20190201,5,68
20190201,50,163
20190201,18,2183
20190201,5,1898
20190201,18,108
20190201,9,1266
20190201,9,45
20190201,5,9
20190201,99,410
20190201,86,473
20190201,23,139
20190201,14,104
20190201,18,102
20190201,18,1379
20190201,5,32
20190201,9,1356
20190201,59,454
20190201,77,721
20190201,36,291
20190201,32,194
20190201,36,1288
20190201,23,440
20190201,45,1003
20190201,5,41
20190201,5,678
20190201,5,90
20190201,63,8862
20190201,36,200
20190201,14,58
20190201,5,53
20190201,27,1629
20190201,18,116
20190201,18,213
20190201,9,88
20190201,131,486
20190201,36,6635
20190201,9,79
20190201,18,99
20190201,59,576
20190201,32,314
20190201,633,3767
20190201,560,2553
20190201,131,462
20190201,45,1259
20190201,41,2265
20190201,50,804
20190201,27,642
20190201,5,68
20190201,14,102
20190201,23,93
20190201,5,14
20190201,5,135
20190201,5,1288
20190201,9,86
20190201,9,72
20190201,5,9
20190201,5,248
20190201,9,20
20190201,59,279
20190201,45,212
20190201,14,112
20190201,9,145
20190201,14,108
20190201,9,97
20190201,5,14
20190201,9,77
20190201,5,14
20190201,18,36
20190201,14,99
20190201,5,14
20190201,5,1220
20190201,9,23
20190201,5,1356
20190201,5,18
20190201,14,99
20190201,14,255
20190201,5,131
20190201,32,466
20190201,18,479
20190201,5,316
20190201,5,235
20190202,5,54
20190202,5,81
20190202,16,65
20190202,11,135
20190202,22,298
20190202,5,325
20190202,103,4390
20190202,32,641
20190202,16,341
20190202,11,513
20190202,11,736
20190202,16,887
20190202,22,1844
20190202,5,107
20190202,70,1908
20190202,119,6425
20190202,38,853
20190202,22,1046
20190202,11,1753
20190202,22,2122
20190202,5,324
20190202,5,2613
20190202,16,752
20190202,92,929
20190202,189,3964
20190202,5,238
20190202,5,87
20190202,5,176
20190202,49,606
20190202,22,195
20190202,5,87
20190202,390,2498
20190202,422,4406
20190202,76,1426
20190202,5,119
20190202,11,38
20190202,11,65
20190202,92,5921
20190202,146,12079
20190202,60,4492
20190202,54,8499
20190202,70,3130
20190202,49,2927
20190202,60,3432
20190202,38,4649
20190202,5,568
20190202,81,7036
20190202,308,21582
20190202,130,8556
20190202,65,9918
20190202,11,1553
20190202,87,9921
20190202,43,2118
20190202,27,3361
20190202,5,812
20190202,5,471
20190202,119,818
20190202,65,993
20190202,22,541
20190202,11,138
20190202,16,379
20190202,11,23
20190202,27,116
20190202,11,61
20190202,5,27
20190202,400,1791
20190202,319,2743
20190202,43,456
20190202,16,319
20190202,22,271
20190202,16,206
20190202,5,216
20190202,22,917
20190202,5,54
20190202,5,103
20190202,5,1163
20190202,11,11112
20190202,5,974
20190202,11,242
20190202,5,211
20190202,11,284
20190202,32,406
20190202,5,22
20190202,27,682
20190202,11,173
20190202,5,866
20190202,11,433
20190202,5,135
20190202,16,65
20190202,5,162
20190202,16,65
20190202,16,162
20190202,5,16
20190202,5,92
20190202,5,368
20190202,5,108
20190202,11,876
20190202,5,54
20190202,5,2462
20190202,5,143
20190202,11,151
20190202,5,97
20190202,5,170
20190202,5,252
20190202,11,625
20190202,5,227
20190202,5,108
20190202,22,101
20190202,5,189
20190202,5,81
20190202,5,121
20190202,11,81
20190202,5,3354
20190202,5,4804
20190202,5,2094
20190202,5,2402
20190202,5,1980
20190202,11,557
20190202,11,128
20190202,27,192
20190202,22,517
20190202,5,98
20190202,5,227
20190202,5,92
20190202,5,362
20190202,5,222
20190202,5,135
20190202,9,33
20190202,5,58
20190202,5,6
20190202,5,32
20190202,9,46
20190202,5,42
20190202,9,271
20190202,14,5171
20190202,9,380
20190202,9,642
20190202,27,2807
20190202,14,1990
20190202,9,345
20190202,14,1540
20190202,5,285
20190202,5,316
20190202,9,434
20190202,18,1483
20190202,5,244
20190202,9,466
20190202,27,2635
20190202,5,497
20190202,5,560
20190202,14,152
20190202,5,29
20190202,5,46
20190202,9,298
20190202,9,235
20190202,5,136
20190202,5,127
20190202,660,48722
20190202,827,66599
20190202,470,37451
20190202,533,42126
20190202,728,53672
20190202,949,75409
20190202,565,47620
20190202,217,15207
20190202,95,6904
20190202,122,8599
20190202,619,51521
20190202,1089,90909
20190202,619,49880
20190202,705,57835
20190202,764,66317
20190202,963,77817
20190202,579,43570
20190202,249,20685
20190202,77,4710
20190202,36,2590
20190202,23,212
20190202,9,172
20190202,5,14
20190202,5,190
20190202,14,72
20190202,9,140
20190202,41,725
20190202,14,237
20190202,9,81
20190202,9,141
20190202,5,14667
20190202,14,235
20190202,9,325
20190202,72,346
20190202,27,315
20190202,5,23
20190202,9,52
20190202,267,1647
20190202,416,2672
20190202,81,976
20190202,18,297
20190202,9,53
20190202,5,127
20190202,23,253
20190202,18,156
20190202,5,50
20190202,5,1989
20190202,23,92
20190202,50,312
20190202,108,787
20190202,18,38
20190202,5,23
20190202,5,475
20190202,5,827
20190202,5,90
20190202,54,4749
20190202,41,2957
20190202,145,5961
20190202,72,6475
20190202,81,12521
20190202,32,5731
20190202,5,493
20190202,5,240
20190202,23,2156
20190202,68,9066
20190202,72,18794
20190202,77,4529
20190202,118,3237
20190202,131,9447
20190202,27,1523
20190202,9,1248
20190202,32,1930
20190202,9,398
20190202,5,127
20190202,18,357
20190202,36,884
20190202,14,420
20190202,27,240
20190202,23,1032
20190202,23,755
20190202,9,761
20190202,14,221
20190202,23,145
20190202,99,1113
20190202,68,971
20190202,77,1396
20190202,32,420
20190202,27,1012
20190202,14,805
20190202,14,181
20190202,5,68
20190202,23,784
20190202,5,2486
20190202,9,154
20190202,5,75
20190202,5,90
20190202,5,633
20190202,5,127
20190202,14,321
20190202,5,154
20190202,9,190
20190202,18,541
20190202,23,714
20190202,5,72
20190202,5,452
20190202,5,113
20190202,5,994
20190202,18,418
20190202,14,41
20190202,5,45
20190202,5,240
20190202,5,23
20190202,68,428
20190202,136,1069
20190202,14,122
20190202,36,771
20190202,9,122
20190202,9,42
20190202,9,1379
20190202,18,1410
20190202,5,172
20190202,18,111
20190202,5,118
20190202,5,1356
20190202,9,27
20190202,18,41
20190202,14,192
20190202,5,36
20190202,9,45
20190202,18,330
20190202,9,32
20190202,59,235
20190202,199,1086
20190202,59,292
20190202,27,201
20190202,23,219
20190202,5,136
20190202,9,958
20190202,5,118
20190202,41,276
20190202,5,47
20190202,18,68
20190202,9,221
20190202,14,83
20190202,59,302
20190202,122,676
20190202,36,162
20190202,18,138
20190202,9,452
20190202,18,344
20190202,18,479
20190202,5,90
20190202,5,495
20190202,14,3508
20190202,5,136
20190202,5,176
20190202,5,768
20190202,5,8
20190202,5,27
20190202,9,43
20190202,5,32
20190202,9,316
20190202,9,18
20190202,23,114
20190202,63,422
20190202,18,128
20190202,23,89
20190202,5,316
20190202,14,898
20190202,14,696
20190202,5,90
20190202,5,23
20190202,5,62
20190202,5,23
20190202,14,87
20190202,5,14
20190202,9,30
20190202,9,16
20190202,127,702
20190202,86,598
20190202,63,1017
20190202,18,127
20190202,5,45
20190202,27,1840
20190202,23,796
20190202,14,427
20190202,5,136
20190202,5,294
20190202,14,145
20190202,86,1149
20190202,14,296
20190202,5,145
20190202,5,32
20190202,9,334
20190202,5,81
20190202,5,199
20190202,9,231
20190202,5,353
20190202,90,1512
20190202,41,868
20190202,32,724
20190202,14,486
20190202,9,176
20190202,5,69
20190202,5,45
20190202,5,52
20190202,14,1808
20190202,9,2210
20190202,5,1044
20190202,5,94
20190202,9,157
20190202,14,2075
20190202,14,434
20190202,23,3865
20190202,9,1184
20190202,5,8
20190202,14,197
20190202,9,102
20190202,5,50
20190202,5,90
20190202,59,210
20190202,86,647
20190202,41,159
20190202,9,34
20190202,18,458
20190202,5,90
20190202,14,140
20190202,11,11
20190202,11,379
20190202,11,157
20190202,5,108
20190202,5,714
20190202,5,16
20190202,32,4934
20190202,5,32
20190202,38,941
20190202,11,54
20190202,27,1509
20190202,11,173
20190202,5,622
20190202,5,81
20190202,5,909
20190202,5,221
20190202,11,1071
20190202,5,1050
20190202,5,11
20190202,27,1147
20190202,5,216
20190202,16,38
20190202,5,216
20190202,5,46
20190202,70,335
20190202,92,1013
20190202,22,140
20190202,11,406
20190202,5,649
20190202,11,10717
20190202,16,10944
20190202,11,24
20190202,5,211
20190202,5,87
20190202,16,210
20190202,43,473
20190202,16,779
20190202,16,117
20190202,16,893
20190202,43,294
20190202,70,749
20190202,22,414
20190202,16,315
20190202,11,141
20190202,11,124
20190202,11,283
20190202,5,27
20190202,11,31
20190202,5,101
20190202,11,122
20190202,5,211
20190202,22,290
20190202,32,465
20190202,5,87
20190202,16,1024
20190202,11,1777
20190202,5,81
20190202,5,54
20190202,16,390
20190202,5,108
20190202,16,480
20190202,43,556
20190202,27,1139
20190202,5,43
20190202,11,1506
20190202,22,254
20190202,11,54
20190202,16,57
20190202,38,121
20190202,5,11
20190202,114,650
20190202,49,228
20190202,16,159
20190202,11,48
20190202,5,433
20190202,5,114
20190202,5,116
20190202,5,481
20190202,5,157
20190202,5,259
20190202,22,1039
20190202,27,225
20190202,5,9
20190202,11,89
20190202,16,360
20190202,5,119
20190202,54,1413
20190202,27,971
20190202,27,468
20190202,5,32
20190202,38,253
20190202,43,666
20190202,49,1769
20190202,49,2384
20190202,38,1060
20190202,87,3196
20190202,97,2083
20190202,60,1229
20190202,22,322
20190202,11,97
20190202,5,1027
20190202,5,1505
20190202,5,638
20190202,5,915
20190202,5,728
20190202,11,2787
20190202,11,1316
20190202,11,4151
20190202,5,130
20190202,11,462
20190202,11,22
20190202,5,38
20190202,5,16
20190202,16,103
20190202,5,54
20190202,11,433
20190202,5,195
20190202,27,165
20190202,22,133
20190202,11,45
20190202,5,54
20190202,87,498
20190202,81,411
20190202,22,221
20190202,16,128
20190202,16,58
20190202,16,634
20190202,11,31
20190202,5,703
20190202,5,30
20190202,5,30
20190202,5,60
20190202,5,30
20190202,11,141
20190202,11,151
20190202,5,32
20190202,16,124
20190202,11,65
20190202,22,1104
20190202,5,30
20190202,5,60
20190202,16,909
20190202,5,75
20190202,32,138
20190202,65,676
20190202,22,380
20190202,38,1461
20190202,5,406
20190202,5,325
20190202,5,3030
20190202,5,1298
20190202,22,57
20190202,11,271
20190202,5,78
20190202,5,23
20190202,38,157
20190202,81,688
20190202,27,461
20190202,16,288
20190202,5,216
20190202,5,162
20190202,5,162
20190202,5,2241
20190202,27,110
20190202,5,587
20190202,5,46
20190202,5,54
20190202,5,379
20190202,11,30
20190202,49,487
20190202,16,102
20190202,22,87
20190202,5,195
20190202,5,325
20190202,22,665
20190202,22,1650
20190202,5,817
20190202,5,3408
20190202,5,162
20190202,5,108
20190202,11,985
20190202,5,44
20190202,38,253
20190202,38,388
20190202,5,63
20190202,11,18
20190202,16,698
20190202,5,76
20190202,5,78
20190202,5,87
20190202,11,211
20190202,5,92
20190202,16,243
20190202,22,390
20190202,11,168
20190202,5,43
20190202,11,243
20190202,27,1431
20190202,5,168
20190202,5,78
20190202,11,79
20190202,38,221
20190202,27,208
20190202,27,143
20190202,16,287
20190202,38,1628
20190202,27,801
20190202,27,422
20190202,16,887
20190202,11,16
20190202,16,168
20190202,5,54
20190202,5,108
20190202,5,27
20190202,11,893
20190202,16,676
20190202,11,53
20190202,16,1225
20190202,27,166
20190202,38,320
20190202,11,281
20190202,32,547
20190202,11,216
20190202,11,903
20190202,11,146
20190202,5,433
20190202,76,418
20190202,108,675
20190202,38,503
20190202,16,260
20190202,43,1310
20190202,49,1304
20190202,32,698
20190202,27,1679
20190202,22,717
20190202,11,189
20190202,5,65
20190202,5,352
20190202,5,698
20190202,5,303
20190202,5,801
20190202,5,131
20190202,60,274
20190202,5,649
20190202,11,1407
20190202,16,197
20190202,22,134
20190202,5,22
20190202,233,1516
20190202,233,1586
20190202,70,716
20190202,22,360
20190202,27,800
20190202,5,49
20190202,22,605
20190202,32,668
20190202,5,541
20190202,5,844
20190202,5,325
20190202,5,2272
20190202,11,97
20190202,5,211
20190202,5,271
20190202,11,124
20190202,5,35
20190202,5,65
20190202,11,146
20190202,5,271
20190202,5,76
20190202,27,107
20190202,22,193
20190202,16,302
20190202,5,76
20190202,5,43
20190202,5,303
20190202,5,54
